CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2145	3078	16	0.7854	-28.031
8594	14707	16	0.8377	-17.027
13656	15345	16	0.8037	-26.018
10808	14716	16	0.8804	-26.016
13845	16965	16	0.7778	54.047
1305	13690	16	0.8325	-26.016
12854	13929	16	0.8172	0.000
1305	12058	16	0.8864	-30.046
1305	13500	16	0.919	-28.032
11555	13500	16	0.9066	28.032
8594	15345	16	0.8449	28.030
14231	16147	16	0.8606	-28.031
12414	14269	17	0.9257	-0.000
5971	12414	17	0.8802	28.031
14249	15648	17	0.8654	-0.984
12414	15648	17	0.9078	0.000
5971	15648	17	0.9031	28.032
5971	14269	17	0.9055	28.031
14269	15648	17	0.9369	0.001
8589	11819	18	0.7346	-15.996
8589	13010	18	0.7233	2.013
11819	13010	18	0.7536	18.009
2182	11819	18	0.765	-20.026
8525	8589	18	0.8308	13.980
2227	6636	18	0.7368	15.995
6636	11819	18	0.7413	-18.010
8525	11819	18	0.7727	-2.016
8525	13010	18	0.7719	15.993
6636	8525	18	0.8004	-15.995
1868	13010	18	0.7215	48.019
2182	8589	18	0.7198	-4.030
6636	8589	18	0.8222	-2.015
2227	8525	18	0.8129	0.000
1868	8525	18	0.771	32.026
1868	2182	18	0.7393	50.036
2182	2227	18	0.7922	-18.010
2227	13010	18	0.7939	15.994
6636	7007	18	0.7636	48.120
1868	8589	18	0.7422	46.006
6636	13010	18	0.7251	-0.001
2227	8589	18	0.7643	13.980
1868	11819	18	0.7527	30.010
2182	13010	18	0.7352	-2.016
2227	11819	18	0.8102	-2.016
2182	8525	18	0.7837	-18.010
2251	7007	18	0.8772	332.137
7796	16182	19	0.923	26.016
6093	16138	19	0.9331	0.000
6300	7796	19	0.924	-12.000
11303	16608	19	0.9361	-0.000
3686	10116	19	0.9495	0.000
11303	16182	19	1.0	0.000
5282	13264	19	0.905	14.016
1482	10253	19	0.9441	-0.000
4284	12091	19	0.9346	0.000
15520	15550	19	0.8961	0.000
3288	6161	19	0.9885	0.000
3686	6338	19	0.9452	-0.000
7569	15550	19	0.8765	0.000
1888	14404	19	0.9434	60.021
5233	10259	19	0.9589	0.000
10253	13705	19	0.9623	0.000
10834	13248	19	0.921	0.000
6058	16608	19	0.9378	-0.000
203	9797	19	0.9266	0.000
978	6093	19	0.9391	0.000
5308	8420	19	0.9263	14.016
5198	6703	19	0.8681	0.000
6338	12103	19	0.9263	-14.016
9035	16042	19	0.9407	0.000
5451	10925	19	0.961	0.000
10259	10873	19	0.8984	24.000
7132	16675	19	0.9589	0.000
8420	12103	19	0.9545	-0.000
470	2679	19	0.9558	0.000
9167	10116	19	0.9568	-0.000
5282	16182	19	0.9568	0.000
5348	10259	19	0.8957	-24.000
7132	14327	19	0.9566	-0.000
2125	16771	19	0.9654	-0.000
9737	10501	19	0.9459	-0.000
5233	11303	19	0.9344	-14.016
7132	11303	19	0.9262	26.016
2679	7132	19	0.9634	0.000
9737	10116	19	0.9727	0.000
13292	16182	19	0.9342	0.000
5907	10442	19	0.926	0.000
1248	4388	19	0.8765	-12.000
7948	10873	19	0.9538	0.000
1547	5233	19	0.9043	0.000
2125	13264	19	0.9118	0.000
1241	5451	19	0.9287	-0.000
978	16138	19	0.9409	0.000
5308	8338	19	0.9278	0.000
11105	12103	19	0.9283	0.000
9737	12103	19	0.9191	-14.016
528	10077	19	0.9649	0.000
15520	16711	19	0.9324	0.000
5348	15550	19	0.8935	0.000
7796	10442	19	0.9566	0.000
10316	16042	19	0.9393	-0.000
6593	11303	19	0.9291	0.000
5646	10501	19	0.958	-0.000
2299	10834	19	0.9198	-0.000
7796	14327	19	0.9646	0.000
6161	10925	19	0.9695	-0.000
470	2661	19	0.9416	-0.000
11105	16499	19	0.9169	0.000
4096	5451	19	0.9876	0.000
1482	15670	19	0.9496	-0.001
203	14404	19	0.9268	-0.000
11303	16771	19	0.9572	14.015
470	16675	19	0.9342	0.000
7132	7796	19	0.98	-0.000
16182	16771	19	0.9572	14.015
1888	5451	19	0.9426	60.021
2661	14327	19	0.9234	0.000
343	15520	19	0.921	0.000
1248	12712	19	0.9094	0.000
9035	16499	19	0.89	14.016
5907	14327	19	0.9326	-0.000
8420	16499	19	0.9442	0.000
1888	4284	19	0.9354	60.021
7569	7948	19	0.9021	0.000
9035	10316	19	0.9456	0.000
10259	16771	19	0.9703	-0.000
6161	10663	19	0.9843	-0.000
12742	15670	19	0.9295	-0.000
10442	14327	19	0.943	-0.000
5282	6593	19	0.92	-0.000
12091	14404	19	0.924	-0.000
12103	16042	19	0.9231	-14.016
6058	6593	19	0.9135	-0.000
1241	1888	19	0.9149	-60.021
10663	10925	19	0.966	0.000
15550	16711	19	0.9117	0.000
470	14327	19	0.9485	-0.000
7132	10442	19	0.9529	0.000
5348	7948	19	0.9162	0.000
7948	15520	19	0.8963	0.000
6300	16675	19	0.9268	-12.000
12742	13705	19	0.9516	0.000
1241	4096	19	0.9328	-0.000
4096	12091	19	0.9261	0.000
9167	10501	19	0.9629	-0.000
470	14447	19	0.9247	0.000
5282	11303	19	0.9568	0.000
5451	10316	19	0.9358	14.016
1570	4388	19	0.876	0.000
