structure_wikidata,protonated_emass,rt,structure_nameTraditional,structure_molecular_formula
http://www.wikidata.org/entity/Q104399577,343.1539998,0,Avicennol,C20H22O5
http://www.wikidata.org/entity/Q104399581,343.1539998,0,cis-Avicennol,C20H22O5
http://www.wikidata.org/entity/Q104920914,343.1539998,0,"6-(3-Hydroxy-3-methylbut-1-enyl)-5-methoxy-2,2-dimethylpyrano[2,3-h]chromen-8-one",C20H22O5
http://www.wikidata.org/entity/Q104984237,343.1539998,0,7-Geranyl-oxy-6-methoxycoumarin,C20H22O5
http://www.wikidata.org/entity/Q105204679,343.1539998,0,Cneorum chromene C,C20H22O5
http://www.wikidata.org/entity/Q104400627,343.1539998,0,"12-[(4-Hydroxy-3-methoxyphenyl)methyl]-5-methoxy-11-oxatricyclo[7.2.1.02,7]dodeca-2,4,6-trien-4-ol",C20H22O5
http://www.wikidata.org/entity/Q105298471,343.1539998,0,"7-[(3,7-Dimethyl-6-oxo-2,7-octadienyl)oxy]-8-methoxycoumarin",C20H22O5
http://www.wikidata.org/entity/Q105298472,343.1539998,0,"7-(3,7-Dimethyl-6-oxoocta-2,7-dienoxy)-8-methoxychromen-2-one",C20H22O5
http://www.wikidata.org/entity/Q105351139,343.1539998,0,"5-Methoxy-8,8-dimethyl-10-(prenyloxy)-2H,8H-benzo[1,2-b:5,4-b']dipyran-2-one",C20H22O5
http://www.wikidata.org/entity/Q105385631,343.1539998,0,"10-(1,1-dimethylallyl)-5-methoxy-2,2-dimethyl-3H-pyrano[3,2-g]chromene-4,8-dione",C20H22O5
http://www.wikidata.org/entity/Q358968,343.1387437,0,Coniferin,C16H22O8
http://www.wikidata.org/entity/Q27279895,343.1234875,0,6-O-b-D-Glucopyranosyl-D-glucose,C12H22O11
http://www.wikidata.org/entity/Q104972894,343.1234875,0,Ido(b1-2b)D-Sorf,C12H22O11
http://www.wikidata.org/entity/Q4027534,343.1234875,0,Sucrose,C12H22O11
http://www.wikidata.org/entity/Q105019946,343.1234875,0,Gal(a1-4)a-Alt,C12H22O11
http://www.wikidata.org/entity/Q27131385,343.1234875,0,3-O-beta-D-galactopyranosyl-beta-D-galactopyranose,C12H22O11
